numrooms,sqauremeters,levels_on_building,level,price,distrcit,microdistrict,street,builtyear,ceilinghight,seller,bathroomtype,repaired
5,199.2,4,2,119520000,наурызбайский,nan,герольда бельгера 1б,2021,3.2,Специалист,раздельный,nan
2,50.0,19,11,63000000,бостандыкский,nan,сейфуллина,2019,3.0,Специалист,nan,nan
3,90.0,9,5,53000000,алатауский,мкр нуркент (алгабас-1),nan,2018,3.0,Компания,раздельный,капитальный ремонт
3,91.5,17,4,71000000,бостандыкский,nan,абая 150/230,2009,3.0,Хозяин недвижимости,совмещенный,nan
2,42.0,9,4,25000000,алатауский,мкр аккент,nan,2011,2.7,Компания,совмещенный,nan
3,140.0,15,13,130000000,ауэзовский,nan,навои 58 — парк первого президента,2012,3.0,Специалист,2 с/у и более,nan
3,80.0,22,20,58500000,алмалинский,nan,тлендиева 223,2012,2.8,Специалист,совмещенный,nan
3,130.0,21,11,130000000,бостандыкский,nan,сейфуллина 574/1,2021,3.0,Хозяин недвижимости,nan,черновая отделка
3,76.6,4,2,33000000,жетысуский,nan,акпаева 59б — школа 108,1968,nan,Компания,nan,nan
2,42.4,4,2,27000000,ауэзовский,мкр №4 15,nan,1968,2.5,Хозяин недвижимости,совмещенный,nan
3,60.0,5,2,32000000,наурызбайский,мкр калкаман-1 7 — 1 гор больница,nan,1987,2.0,Хозяин недвижимости,nan,nan
2,57.3,3,3,53000000,алмалинский,nan,сейфуллина 565 — кабанбай батыра,1956,3.4,Хозяин недвижимости,совмещенный,капитальный ремонт
3,138.0,6,3,140000000,бостандыкский,мкр мирас,nan,2016,3.0,Хозяин недвижимости,2 с/у и более,nan
3,69.4,nan,2,50000000,алмалинский,nan,сейфулина 518 — жамбыла,1930,nan,Хозяин недвижимости,совмещенный,nan
2,52.3,10,6,35000000,ауэзовский,nan,толе би — отеген батыра,2023,2.8,Специалист,nan,nan
2,47.0,16,11,46000000,бостандыкский,nan,сатпаева 90/55,2021,2.85,Хозяин недвижимости,совмещенный,nan
3,110.0,14,13,96000000,бостандыкский,nan,гагарина проспект 124 — абая,2019,3.0,Компания,2 с/у и более,после ремонта
2,73.2,5,5,39900000,ауэзовский,nan,саина 12 — саина толе би,1986,nan,Хозяин недвижимости,раздельный,nan
1,46.0,15,13,38900000,ауэзовский,nan,утеген батыра 11 — толе би,2023,3.0,Хозяин недвижимости,совмещенный,nan
3,100.0,13,12,51500000,алатауский,мкр нуркент (алгабас-1) 46,nan,2015,2.8,Хозяин недвижимости,nan,nan
1,53.0,19,7,59500000,бостандыкский,nan,аль-фараби 41,2023,3.0,Хозяин недвижимости,совмещенный,nan
1,40.0,6,3,22900000,наурызбайский,мкр шугыла,nan,2022,nan,Крыша Агент,совмещенный,свежий ремонт
1,42.8,12,6,30000000,алмалинский,nan,торекулова 95,2023,nan,Специалист,совмещенный,черновая отделка
2,55.0,18,1,33000000,алмалинский,nan,брусиловского — шакарима,2015,2.8,Специалист,совмещенный,nan
1,50.0,10,1,33500000,ауэзовский,12-й мкрн 26,nan,2019,2.75,Крыша Агент,nan,nan
1,45.0,5,4,22000000,турксибский,мкр жас канат,nan,2017,nan,Хозяин недвижимости,nan,nan
3,64.0,4,1,23600000,турксибский,мкр алтай-2 12 — лавренева,nan,1973,2.7,Хозяин недвижимости,раздельный,nan
1,20.0,9,2,21000000,алмалинский,nan,казыбек би 125 — досмухамедова,2014,2.7,Хозяин недвижимости,совмещенный,nan
2,90.0,19,18,49000000,бостандыкский,nan,солодовникова — сатпаева,2008,3.0,Специалист,2 с/у и более,nan
4,203.0,22,5,353000000,бостандыкский,nan,аль-фараби 77/1,2015,2.8,Специалист,2 с/у и более,nan
3,62.0,5,5,35500000,ауэзовский,мкр №8 8,nan,1972,nan,Хозяин недвижимости,раздельный,nan
2,67.2,9,2,33500000,алатауский,мкр нуркент (алгабас-1),nan,2018,2.8,Хозяин недвижимости,2 с/у и более,nan
3,61.8,5,5,49900000,бостандыкский,nan,проспект назарбаева,1974,nan,Специалист,nan,nan
3,115.0,8,2,135000000,бостандыкский,мкр мирас,nan,2009,nan,Специалист,nan,хороший ремонт
2,70.0,10,8,38000000,турксибский,nan,сейфуллина 51,2021,2.8,Хозяин недвижимости,2 с/у и более,nan
5,176.1,15,15,72950000,ауэзовский,nan,навои 70,2007,3.0,Специалист,2 с/у и более,черновая отделка
1,45.0,9,7,22500000,жетысуский,nan,боткина — ⭐️508 тыс/метр,2022,nan,Специалист,nan,nan
1,35.0,5,2,31000000,бостандыкский,nan,сатпаева 37а,1971,2.8,Специалист,совмещенный,nan
3,72.0,5,2,44000000,ауэзовский,мкр мамыр-1 7,nan,1994,nan,Специалист,раздельный,nan
3,110.0,7,1,165000000,медеуский,nan,омаровой 37,2015,3.0,Хозяин недвижимости,nan,дргуой ремонт
3,65.0,5,5,52000000,бостандыкский,nan,минусинская — маркова,1992,nan,Специалист,2 с/у и более,nan
1,35.0,5,2,29550000,бостандыкский,nan,жандосова 84 — розыбакиева,1989,2.6,Хозяин недвижимости,совмещенный,после ремонта
2,70.0,15,12,76000000,алмалинский,nan,наурызбай батыра 50 — жибек жолы,2019,2.75,Специалист,совмещенный,nan
1,40.0,8,6,17900000,алатауский,nan,шоссе северное кольцо 92/10,2022,3.0,Хозяин недвижимости,nan,nan
1,35.0,13,2,29500000,ауэзовский,nan,утеген батыра — отарская,2016,nan,Крыша Агент,совмещенный,nan
1,59.6,10,10,44200000,бостандыкский,мкр орбита-3 — мустафина,nan,2015,2.7,Крыша Агент,совмещенный,nan
1,40.0,9,5,20500000,наурызбайский,мкр шугыла,nan,2018,2.7,Специалист,совмещенный,nan
1,58.0,10,4,45500000,медеуский,nan,назарбаева 36,2020,nan,Хозяин недвижимости,совмещенный,nan
3,75.0,21,18,51000000,алмалинский,nan,толе би 286,2012,2.8,Специалист,раздельный,nan
3,116.0,17,4,116000000,бостандыкский,nan,розыбакиева,2024,3.0,Компания,2 с/у и более,черновая отделка
2,55.0,nan,11,64000000,бостандыкский,nan,аль-фараби 105 — ходжанова,2023,3.0,Хозяин недвижимости,совмещенный,nan
2,67.0,7,6,36500000,nan,nan,райымбек батыра 169 9 — возле халык арены. светофор после магнума,2022,2.8,Хозяин недвижимости,совмещенный,nan
1,34.0,3,2,18000000,жетысуский,мкр айнабулак-3,nan,1990,2.85,Компания,совмещенный,капитальный ремонт
3,64.7,2,2,27500000,турксибский,мкр 13-й военный городок,nan,1974,2.8,Компания,раздельный,требует ремонта
3,70.0,9,8,62000000,бостандыкский,мкр алмагуль 238 — гагарина байкадамова,nan,1995,nan,Хозяин недвижимости,раздельный,nan
3,127.0,8,7,135000000,медеуский,nan,кабанбай батыра — 🔥🔥🔥 рядом гост.казахстан,2012,5.0,Специалист,2 с/у и более,nan
1,42.0,12,7,20500000,алатауский,13-й микрорайон,nan,2024,3.0,Специалист,nan,предчистовая отделка
1,16.3,4,2,12000000,алмалинский,nan,абылай хан 33/1,1973,2.7,Хозяин недвижимости,общий,nan
2,155.0,16,15,71000000,ауэзовский,nan,навои — большая алматинка,2007,3.5,Специалист,2 с/у и более,nan
3,75.0,10,1,48000000,жетысуский,nan,райымбека,2007,2.7,Хозяин недвижимости,раздельный,капитальный ремонт
2,68.0,5,3,69000000,алмалинский,nan,ул.ади шарипова 89,1980,nan,Хозяин недвижимости,совмещенный,капитальный ремонт
3,140.7,22,7,218085000,бостандыкский,nan,аль-фараби 77/2,2015,2.8,Хозяин недвижимости,раздельный,nan
3,74.0,12,4,97000000,бостандыкский,nan,розыбакиева 343 — ескараева,2023,3.0,Специалист,2 с/у и более,nan
2,70.0,12,10,29000000,алатауский,мкр акбулак,nan,2018,2.8,Компания,2 с/у и более,nan
3,75.0,9,3,62000000,бостандыкский,nan,сатпаева 79 — сатпаева - радостовца,1986,2.8,Хозяин недвижимости,совмещенный,nan
2,60.4,9,2,38500000,ауэзовский,мкр аксай-1а 34,nan,2006,nan,Специалист,раздельный,nan
1,23.0,9,4,17000000,ауэзовский,мкр аксай-1а 30а,nan,2007,nan,Хозяин недвижимости,совмещенный,nan
1,45.0,10,5,22300000,алатауский,мкр акбулак,nan,2011,2.8,Специалист,совмещенный,nan
1,31.5,5,4,23500000,бостандыкский,мкр орбита-2 — мустафина - аль фараби,nan,1976,2.6,Специалист,совмещенный,nan
1,41.0,12,6,36000000,бостандыкский,nan,розыбакиева 158 — сатпаева,2023,3.0,Специалист,nan,nan
2,74.0,16,4,30000000,наурызбайский,мкр шугыла,nan,2012,2.8,Хозяин недвижимости,совмещенный,nan
2,52.3,7,4,37000000,ауэзовский,8 микрорайон 41/6,nan,2018,2.8,Специалист,совмещенный,требует ремонта
1,39.0,6,3,44900000,алмалинский,nan,карасай батыра 119/95,2022,3.0,Хозяин недвижимости,совмещенный,nan
2,87.0,13,8,60000000,ауэзовский,nan,ул утеген батыра 17б — ул кабдолова,2018,nan,Хозяин недвижимости,2 с/у и более,хороший ремонт
1,30.0,4,2,20500000,бостандыкский,nan,гагарина,1961,nan,Специалист,nan,nan
2,51.0,4,1,29500000,ауэзовский,мкр мамыр,nan,1974,2.7,Специалист,раздельный,nan
2,44.1,16,11,43000000,алмалинский,nan,манаса 109а — супер цена🔥,2019,3.0,Специалист,nan,nan
2,80.0,16,15,69000000,бостандыкский,nan,сатпаева 90/43а — сатпаева,2019,2.85,Компания,совмещенный,свежий ремонт
4,154.2,14,9,137500000,медеуский,nan,зенкова 59,2011,3.0,Хозяин недвижимости,2 с/у и более,черновая отделка
2,57.5,3,3,26500000,алатауский,мкр теректы,nan,2023,2.8,Хозяин недвижимости,nan,nan
3,60.0,4,3,38000000,алмалинский,nan,панфилова 37 — вокзал 2 алматы,1966,nan,Хозяин недвижимости,совмещенный,капитальный ремонт
2,73.0,20,4,73000000,бостандыкский,nan,гагарина 310,2023,3.0,Хозяин недвижимости,совмещенный,nan
2,42.0,2,1,20500000,ауэзовский,мкр таугуль-2,nan,1961,2.8,Хозяин недвижимости,совмещенный,nan
3,84.0,9,7,40000000,алатауский,мкр аккент,nan,2011,2.7,Специалист,2 с/у и более,nan
1,32.0,10,9,20500000,наурызбайский,мкр шугыла,nan,2023,2.7,Хозяин недвижимости,совмещенный,дргуой ремонт
1,45.0,13,2,40500000,ауэзовский,nan,абая 21/1 — саина,2021,2.8,Хозяин недвижимости,раздельный,nan
2,85.0,3,2,130000000,медеуский,nan,кербулакская — оспанова достык / роял тулип,2019,3.6,Специалист,2 с/у и более,дргуой ремонт
1,22.0,nan,nan,15600000,наурызбайский,мкр калкаман-1,nan,2023,2.8,Хозяин недвижимости,nan,дргуой ремонт
2,58.0,12,8,45000000,бостандыкский,мкр орбита-3,nan,2022,2.8,Хозяин недвижимости,раздельный,nan
4,74.2,4,1,45000000,турксибский,nan,беринга — бекмаханова,1973,2.7,Хозяин недвижимости,раздельный,дргуой ремонт
3,72.0,4,2,57000000,алмалинский,nan,проспект абая 89 — абая,1961,2.7,Хозяин недвижимости,раздельный,требует ремонта
2,52.0,10,1,42500000,nan,nan,навои 58/1,2023,3.0,Хозяин недвижимости,совмещенный,дргуой ремонт
1,38.7,12,6,28500000,бостандыкский,nan,сатпаева 90 — туркебаева,2019,2.74,Специалист,совмещенный,требует ремонта
4,146.0,10,4,124000000,бостандыкский,nan,гагарина 309,2016,3.0,Специалист,2 с/у и более,nan
1,40.5,9,7,21000000,наурызбайский,nan,райымбека — жуалы,2022,2.7,Специалист,nan,nan
3,60.0,5,2,40000000,бостандыкский,nan,бульвар бухар жырау 60а,1983,nan,Специалист,nan,nan
2,42.0,9,4,23500000,алатауский,мкр аккент,nan,2011,2.6,Компания,совмещенный,nan
2,88.0,30,22,115000000,бостандыкский,nan,аль-фараби 9,2019,nan,Хозяин недвижимости,2 с/у и более,nan
4,100.0,5,3,65000000,бостандыкский,nan,розыбакиева 96,1985,3.0,Компания,раздельный,nan
2,42.0,5,2,30500000,бостандыкский,мкр алмагуль 290 — ул. жарокова,nan,1986,nan,Специалист,раздельный,требует ремонта
3,59.0,5,3,33500000,ауэзовский,мкр аксай-2 67,nan,1983,2.7,Специалист,nan,nan
