numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
4,120.0,10.0,9.0,105000000,есильский,,2023,3.0,False,крыша агент,,greenline.asyl mura,,Астана
1,54.0,13.0,5.0,20500000,байконурский,,2012,3.0,False,крыша агент,совмещенный,хан тенгри,,Астана
1,35.77,,,14308000,нуринский,,2024,3.0,True,новостройка,совмещенный,green town,,Астана
3,101.67,,,28467600,есильский,,2025,2.85,True,новостройка,2 с/у и более,salt,,Астана
3,102.5,18.0,8.0,48000000,алматинский,,2022,3.0,False,специалист,2 с/у и более,armantau comfort ii,дизайнерский ремонт,Астана
1,24.0,5.0,2.0,8300000,алматинский,,2009,2.7,False,крыша агент,совмещенный,ырыс,,Астана
2,62.0,4.0,1.0,27000000,нуринский,,2007,2.7,False,крыша агент,совмещенный,,,Астана
2,59.0,12.0,12.0,33000000,нуринский,,2023,3.0,False,крыша агент,,tandau,,Астана
2,38.0,9.0,8.0,24900000,есильский,,2022,3.0,False,крыша агент,,inju city,свежий ремонт,Астана
3,55.7,17.0,6.0,31000000,есильский,,2024,3.0,False,крыша агент,,buqar jyrau exclusive,дргуой ремонт,Астана
2,77.5,14.0,14.0,30000000,алматинский,,2011,3.0,False,крыша агент,раздельный,мария,,Астана
2,62.43,,,30528270,нуринский,,2024,3.0,True,новостройка,2 с/у и более,ecopark,,Астана
3,94.27,,,43647010,есильский,,2024,3.0,True,новостройка,2 с/у и более,grand turan,,Астана
3,79.05,,,31120000,сарыаркинский,,2024,2.8,True,новостройка,2 с/у и более,столичный-2,,Астана
1,41.0,9.0,2.0,18500000,алматинский,,2008,2.7,False,хозяин недвижимости,совмещенный,,дргуой ремонт,Астана
3,91.0,,,49864455,есильский,,2024,3.0,True,новостройка,2 с/у и более,buqar jyrau exclusive,,Астана
2,61.95,,,35311500,алматинский,,2023,3.0,True,новостройка,совмещенный,sunset avenue,,Астана
3,86.58,,,23809500,алматинский,,2024,2.7,True,новостройка,2 с/у и более,yrys,,Астана
3,99.52,9.0,6.0,43800000,есильский,,2024,3.0,False,крыша агент,2 с/у и более,honnete,черновая отделка,Астана
3,99.52,9.0,6.0,43800000,есильский,,2024,3.0,False,крыша агент,2 с/у и более,honnete,черновая отделка,Астана
2,40.2,24.0,18.0,25200000,алматинский,,2017,3.0,False,крыша агент,совмещенный,millennium park,дизайнерский ремонт,Астана
1,33.4,7.0,2.0,10800000,сарыаркинский,,2022,2.7,False,крыша агент,,коктем,черновая отделка,Астана
3,110.0,22.0,19.0,86000000,есильский,,2021,3.0,False,крыша агент,,only sun & moon,дизайнерский ремонт,Астана
1,37.0,7.0,2.0,18500000,есильский,,2016,2.7,False,крыша агент,2 с/у и более,family town,,Астана
3,65.0,5.0,5.0,25000000,нуринский,,2022,2.5,False,крыша агент,,,,Астана
2,51.43,,,25869290,есильский,,2024,3.0,True,новостройка,совмещенный,aisar,,Астана
1,38.26,,,14300000,нуринский,,2024,3.0,True,новостройка,совмещенный,delta,,Астана
1,55.86,,,16478700,алматинский,,2024,2.7,True,новостройка,совмещенный,yrys,,Астана
4,173.4,,,107508000,есильский,,2024,3.3,True,новостройка,2 с/у и более,altyn adam,,Астана
2,40.0,4.0,1.0,8000000,есильский,,2018,,False,новостройка,,,,Астана
2,71.0,22.0,6.0,47000000,есильский,,2021,2.7,False,крыша агент,раздельный,only sun & moon,,Астана
1,22.0,12.0,8.0,10500000,алматинский,,2022,2.7,False,крыша агент,совмещенный,"баскару 2,3,4,5",дргуой ремонт,Астана
2,47.2,10.0,4.0,28500000,есильский,,2019,2.7,False,крыша агент,,baspana,,Астана
4,100.0,9.0,8.0,58500000,есильский,,2020,2.7,False,хозяин недвижимости,2 с/у и более,,,Астана
2,37.0,12.0,7.0,19500000,сарыаркинский,,2023,3.0,False,крыша агент,раздельный,sharyn 2,свежий ремонт,Астана
2,65.0,9.0,5.0,31500000,есильский,,2022,3.0,False,крыша агент,2 с/у и более,greenline.terra,черновая отделка,Астана
3,94.0,9.0,4.0,50000000,есильский,,2013,2.7,False,специалист,раздельный,арман кала,,Астана
1,37.0,9.0,7.0,19000000,есильский,,2022,3.0,False,крыша агент,,,,Астана
2,52.7,,,24242000,есильский,,2023,2.65,True,новостройка,совмещенный,mod.standard,,Астана
4,107.56,,,50015400,нуринский,,2024,3.0,True,новостройка,2 с/у и более,arena towers,,Астана
2,64.94,,,26625400,алматинский,,2025,3.0,True,новостройка,2 с/у и более,dauletti qalashyq,,Астана
3,90.06,,,35123400,,,2023,3.0,True,новостройка,2 с/у и более,центральный сквер,,Астана
2,72.24,,,39009600,алматинский,,2023,3.0,True,новостройка,совмещенный,sunset avenue,,Астана
1,39.6,,,27284400,нуринский,,2024,3.0,True,новостройка,совмещенный,grand turan avenue,,Астана
2,42.6,5.0,1.0,13500000,сарыаркинский,,1967,,False,специалист,,,,Астана
2,65.3,9.0,4.0,26000000,алматинский,,2013,2.7,False,крыша агент,раздельный,,,Астана
1,39.0,15.0,8.0,21000000,алматинский,,2023,3.0,False,крыша агент,совмещенный,балкадиша,,Астана
1,42.0,8.0,8.0,16000000,есильский,,2024,3.0,False,крыша агент,совмещенный,атамари,черновая отделка,Астана
