numrooms,sqauremeters,level,price,distrcit,builtyear,ceilinghight,seller,bathroomtype,repaired
3,115.6,5,83000000,Бостандыкский,2021,3.0,Компания,санузел 2 с/у и более,0
2,60.0,2,47000000,Бостандыкский,2021,3.0,Компания,санузел раздельный,0
3,117.2,7,92295000,Бостандыкский,2021,3.2,Компания,санузел 2 с/у и более,0
1,32.0,8,26500000,Алмалинский,2022,2.9,Специалист,санузел совмещенный,0
5,236.4,9,223398000,Бостандыкский,2021,4.5,Компания,санузел совмещенный,0
4,73.2,5,47000000,Алмалинский,1974,2.8,Хозяин недвижимости,санузел раздельный,-1
1,21.0,3,15999000,Бостандыкский,1989,2.7,Специалист,санузел совмещенный,1
3,113.7,12,85275000,Бостандыкский,2023,2.7,Специалист,санузел 2 с/у и более,0
2,43.0,3,29500000,Ауэзовский,1966,2.6,Хозяин недвижимости,санузел совмещенный,0
1,22.0,2,13999000,Ауэзовский,1978,2.7,Специалист,санузел совмещенный,1
4,137.8,5,99216000,Бостандыкский,2021,3.2,Компания,санузел 2 с/у и более,0
2,58.0,9,33000000,Алмалинский,2000,2.7,Хозяин недвижимости,санузел раздельный,0
3,80.0,10,68000000,Тлендиева,2012,2.8,Хозяин недвижимости,санузел раздельный,0
2,60.0,23,79000000,Бостандыкский,2019,3.0,Специалист,санузел совмещенный,0
4,88.0,2,69000000,Алмалинский,1994,2.85,Специалист,санузел раздельный,0
1,33.04,3,27500000,Наурызбайский,2023,3.2,Хозяин недвижимости,санузел совмещенный,1
2,76.2,6,64739520,Бостандыкский,2021,3.2,Компания,санузел совмещенный,0
3,135.0,5,195000000,Медеуский,2017,3.15,Хозяин недвижимости,санузел совмещенный,0
2,56.0,1,47000000,Алмалинский,1978,3.0,Хозяин недвижимости,санузел совмещенный,0
3,100.1,5,100000000,Бостандыкский,2022,2.85,Специалист,санузел 2 с/у и более,1
5,285.4,4,265335000,Медеуский,2006,3.0,Компания,санузел 2 с/у и более,0
2,50.6,5,33000000,Ауэзовский,1991,2.5,Хозяин недвижимости,санузел раздельный,-1
2,67.0,3,50000000,Алмалинский,2011,3.0,Хозяин недвижимости,санузел совмещенный,1
1,30.0,3,26500000,Бостандыкский,1962,2.7,Хозяин недвижимости,санузел совмещенный,1
2,80.0,4,81000000,Бостандыкский,2009,3.0,Хозяин недвижимости,санузел совмещенный,0
2,49.0,9,67900000,Бостандыкский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
3,140.0,3,230000000,Бостандыкский,2020,3.2,Компания,санузел 2 с/у и более,0
3,79.8,1,41000000,Бостандыкский,1975,2.6,Крыша Агент,санузел совмещенный,0
3,88.0,14,75000000,Алмалинский,2015,2.7,Хозяин недвижимости,санузел совмещенный,0
2,68.0,4,35000000,Алатауский,2013,2.7,Крыша Агент,санузел раздельный,0
5,199.2,2,119520000,Наурызбайский,2021,3.2,Специалист,санузел раздельный,0
2,50.0,11,63000000,Бостандыкский,2019,3.0,Специалист,санузел совмещенный,0
3,90.0,5,53000000,Алатауский,2018,3.0,Компания,санузел раздельный,1
3,91.5,4,71000000,Бостандыкский,2009,3.0,Хозяин недвижимости,санузел совмещенный,0
2,42.0,4,25000000,Алатауский,2011,2.7,Компания,санузел совмещенный,0
3,140.0,13,130000000,Ауэзовский,2012,3.0,Специалист,санузел 2 с/у и более,0
3,80.0,20,58500000,Алмалинский,2012,2.8,Специалист,санузел совмещенный,0
3,130.0,11,130000000,Бостандыкский,2021,3.0,Хозяин недвижимости,санузел совмещенный,0
3,76.6,2,33000000,Жетысуский,1968,2.7,Компания,санузел совмещенный,0
2,42.4,2,27000000,Ауэзовский,1968,2.5,Хозяин недвижимости,санузел совмещенный,0
3,60.0,2,32000000,Наурызбайский,1987,2.0,Хозяин недвижимости,санузел совмещенный,0
2,57.3,3,53000000,Алмалинский,1956,3.4,Хозяин недвижимости,санузел совмещенный,1
3,138.0,3,140000000,Бостандыкский,2016,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
3,69.4,2,50000000,Алмалинский,1930,2.7,Хозяин недвижимости,санузел совмещенный,0
2,52.3,6,35000000,Ауэзовский,2023,2.8,Специалист,санузел совмещенный,0
2,47.0,11,46000000,Бостандыкский,2021,2.85,Хозяин недвижимости,санузел совмещенный,0
3,110.0,13,96000000,Бостандыкский,2019,3.0,Компания,санузел 2 с/у и более,1
2,73.2,5,39900000,Ауэзовский,1986,2.7,Хозяин недвижимости,санузел раздельный,0
1,46.0,13,38900000,Ауэзовский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
3,100.0,12,51500000,Алатауский,2015,2.8,Хозяин недвижимости,санузел совмещенный,0
1,53.0,7,59500000,Бостандыкский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
1,40.0,3,22900000,Наурызбайский,2022,2.7,Крыша Агент,санузел совмещенный,1
1,42.8,6,30000000,Алмалинский,2023,2.7,Специалист,санузел совмещенный,0
2,55.0,1,33000000,Алмалинский,2015,2.8,Специалист,санузел совмещенный,0
1,50.0,1,33500000,Ауэзовский,2019,2.75,Крыша Агент,санузел совмещенный,0
1,45.0,4,22000000,Турксибский,2017,2.7,Хозяин недвижимости,санузел совмещенный,0
3,64.0,1,23600000,Турксибский,1973,2.7,Хозяин недвижимости,санузел раздельный,0
1,20.0,2,21000000,Алмалинский,2014,2.7,Хозяин недвижимости,санузел совмещенный,0
2,90.0,18,49000000,Бостандыкский,2008,3.0,Специалист,санузел 2 с/у и более,0
4,203.0,5,353000000,Бостандыкский,2015,2.8,Специалист,санузел 2 с/у и более,0
3,62.0,5,35500000,Ауэзовский,1972,2.7,Хозяин недвижимости,санузел раздельный,0
2,67.2,2,33500000,Алатауский,2018,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
3,61.8,5,49900000,Бостандыкский,1974,2.7,Специалист,санузел совмещенный,0
3,115.0,2,135000000,Бостандыкский,2009,2.7,Специалист,санузел совмещенный,1
2,70.0,8,38000000,Турксибский,2021,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
5,176.1,15,72950000,Ауэзовский,2007,3.0,Специалист,санузел 2 с/у и более,0
1,45.0,7,22500000,Жетысуский,2022,2.7,Специалист,санузел совмещенный,0
1,35.0,2,31000000,Бостандыкский,1971,2.8,Специалист,санузел совмещенный,0
3,72.0,2,44000000,Ауэзовский,1994,2.7,Специалист,санузел раздельный,0
3,110.0,1,165000000,Медеуский,2015,3.0,Хозяин недвижимости,санузел совмещенный,0
3,65.0,5,52000000,Бостандыкский,1992,2.7,Специалист,санузел 2 с/у и более,0
1,35.0,2,29550000,Бостандыкский,1989,2.6,Хозяин недвижимости,санузел совмещенный,1
2,70.0,12,76000000,Алмалинский,2019,2.75,Специалист,санузел совмещенный,0
1,40.0,6,17900000,Алатауский,2022,3.0,Хозяин недвижимости,санузел совмещенный,0
1,35.0,2,29500000,Ауэзовский,2016,2.7,Крыша Агент,санузел совмещенный,0
1,59.6,10,44200000,Бостандыкский,2015,2.7,Крыша Агент,санузел совмещенный,0
1,40.0,5,20500000,Наурызбайский,2018,2.7,Специалист,санузел совмещенный,0
1,58.0,4,45500000,Медеуский,2020,2.7,Хозяин недвижимости,санузел совмещенный,0
3,75.0,18,51000000,Алмалинский,2012,2.8,Специалист,санузел раздельный,0
3,116.0,4,116000000,Бостандыкский,2024,3.0,Компания,санузел 2 с/у и более,0
2,55.0,11,64000000,Бостандыкский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
2,67.0,6,36500000,Райымбек,2022,2.8,Хозяин недвижимости,санузел совмещенный,0
1,34.0,2,18000000,Жетысуский,1990,2.85,Компания,санузел совмещенный,1
3,64.7,2,27500000,Турксибский,1974,2.8,Компания,санузел раздельный,-1
3,70.0,8,62000000,Бостандыкский,1995,2.7,Хозяин недвижимости,санузел раздельный,0
3,127.0,7,135000000,Медеуский,2012,5.0,Специалист,санузел 2 с/у и более,0
1,42.0,7,20500000,Алатауский,2024,3.0,Специалист,санузел совмещенный,0
1,16.3,2,12000000,Алмалинский,1973,2.7,Хозяин недвижимости,санузел совмещенный,0
2,155.0,15,71000000,Ауэзовский,2007,3.5,Специалист,санузел 2 с/у и более,0
3,75.0,1,48000000,Жетысуский,2007,2.7,Хозяин недвижимости,санузел раздельный,1
2,68.0,3,69000000,Алмалинский,1980,2.7,Хозяин недвижимости,санузел совмещенный,1
3,140.7,7,218085000,Бостандыкский,2015,2.8,Хозяин недвижимости,санузел раздельный,0
3,74.0,4,97000000,Бостандыкский,2023,3.0,Специалист,санузел 2 с/у и более,0
2,70.0,10,29000000,Алатауский,2018,2.8,Компания,санузел 2 с/у и более,0
3,75.0,3,62000000,Бостандыкский,1986,2.8,Хозяин недвижимости,санузел совмещенный,0
2,60.4,2,38500000,Ауэзовский,2006,2.7,Специалист,санузел раздельный,0
1,23.0,4,17000000,Ауэзовский,2007,2.7,Хозяин недвижимости,санузел совмещенный,0
1,45.0,5,22300000,Алатауский,2011,2.8,Специалист,санузел совмещенный,0
1,31.5,4,23500000,Бостандыкский,1976,2.6,Специалист,санузел совмещенный,0
1,41.0,6,36000000,Бостандыкский,2023,3.0,Специалист,санузел совмещенный,0
2,74.0,4,30000000,Наурызбайский,2012,2.8,Хозяин недвижимости,санузел совмещенный,0
2,52.3,4,37000000,Ауэзовский,2018,2.8,Специалист,санузел совмещенный,-1
1,39.0,3,44900000,Алмалинский,2022,3.0,Хозяин недвижимости,санузел совмещенный,0
2,87.0,8,60000000,Ауэзовский,2018,2.7,Хозяин недвижимости,санузел 2 с/у и более,1
1,30.0,2,20500000,Бостандыкский,1961,2.7,Специалист,санузел совмещенный,0
2,51.0,1,29500000,Ауэзовский,1974,2.7,Специалист,санузел раздельный,0
2,44.1,11,43000000,Алмалинский,2019,3.0,Специалист,санузел совмещенный,0
2,80.0,15,69000000,Бостандыкский,2019,2.85,Компания,санузел совмещенный,1
4,154.2,9,137500000,Медеуский,2011,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
2,57.5,3,26500000,Алатауский,2023,2.8,Хозяин недвижимости,санузел совмещенный,0
3,60.0,3,38000000,Алмалинский,1966,2.7,Хозяин недвижимости,санузел совмещенный,1
2,73.0,4,73000000,Бостандыкский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
2,42.0,1,20500000,Ауэзовский,1961,2.8,Хозяин недвижимости,санузел совмещенный,0
3,84.0,7,40000000,Алатауский,2011,2.7,Специалист,санузел 2 с/у и более,0
1,32.0,9,20500000,Наурызбайский,2023,2.7,Хозяин недвижимости,санузел совмещенный,1
1,45.0,2,40500000,Ауэзовский,2021,2.8,Хозяин недвижимости,санузел раздельный,0
2,85.0,2,130000000,Медеуский,2019,3.6,Специалист,санузел 2 с/у и более,1
1,22.0,1,15600000,Наурызбайский,2023,2.8,Хозяин недвижимости,санузел совмещенный,0
2,58.0,8,45000000,Бостандыкский,2022,2.8,Хозяин недвижимости,санузел раздельный,0
4,74.2,1,45000000,Турксибский,1973,2.7,Хозяин недвижимости,санузел раздельный,0
3,72.0,2,57000000,Алмалинский,1961,2.7,Хозяин недвижимости,санузел раздельный,-1
2,52.0,1,42500000,Навои,2023,3.0,Хозяин недвижимости,санузел совмещенный,1
1,38.7,6,28500000,Бостандыкский,2019,2.74,Специалист,санузел совмещенный,-1
4,146.0,4,124000000,Бостандыкский,2016,3.0,Специалист,санузел 2 с/у и более,0
1,40.5,7,21000000,Наурызбайский,2022,2.7,Специалист,санузел совмещенный,0
3,60.0,2,40000000,Бостандыкский,1983,2.7,Специалист,санузел совмещенный,0
2,42.0,4,23500000,Алатауский,2011,2.6,Компания,санузел совмещенный,0
2,88.0,22,115000000,Бостандыкский,2019,2.7,Хозяин недвижимости,санузел 2 с/у и более,0
4,100.0,3,65000000,Бостандыкский,1985,3.0,Компания,санузел раздельный,0
2,42.0,2,30500000,Бостандыкский,1986,2.7,Специалист,санузел раздельный,-1
3,59.0,3,33500000,Ауэзовский,1983,2.7,Специалист,санузел совмещенный,0
2,42.0,2,31500000,Бостандыкский,1970,2.8,Специалист,санузел совмещенный,0
1,33.0,2,21500000,Ауэзовский,1965,2.7,Компания,санузел совмещенный,0
1,29.0,7,21500000,Райымбека,2023,2.7,Хозяин недвижимости,санузел совмещенный,0
4,141.0,2,153000000,Бостандыкский,2021,3.0,Хозяин недвижимости,санузел 2 с/у и более,1
3,73.0,1,60000000,Медеуский,1973,2.7,Хозяин недвижимости,санузел раздельный,0
2,50.0,3,46000000,Алмалинский,1975,2.8,Хозяин недвижимости,санузел совмещенный,0
2,50.0,3,66000000,Бостандыкский,2022,3.0,Специалист,санузел совмещенный,1
4,191.0,1,320000000,Медеуский,2018,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
2,45.0,11,42700000,Бостандыкский,2019,3.0,Специалист,санузел совмещенный,0
3,80.0,5,52900000,Алмалинский,1980,2.7,Хозяин недвижимости,санузел раздельный,0
3,70.0,5,40000000,Ауэзовский,1980,2.7,Хозяин недвижимости,санузел раздельный,1
3,135.2,7,209560000,Бостандыкский,2015,2.8,Хозяин недвижимости,санузел 2 с/у и более,1
